With Rotated Coordinates: Normal Score Transform: pygeostat_saved_data
 7
X
Y
Z
value
NS_value
Rotated X
Rotated Y
0.500000 0.500000 0.500000 0.000000     -2.67379 0.57206140     0.41562694    
5.500000 0.500000 0.500000 0.000000     -2.37603  5.5105031     -.36654538    
10.500000 0.500000 0.500000 204.054993     -0.10989  10.448945     -1.1487177    
15.500000 0.500000 0.500000 157.588303     -0.34180  15.387387     -1.9308900    
20.500000 0.500000 0.500000 210.154999     -0.06585  20.325828     -2.7130623    
25.500000 0.500000 0.500000 386.173309      0.59402  25.264270     -3.4952347    
30.500000 0.500000 0.500000 422.756592      0.66274  30.202712     -4.2774070    
35.500000 0.500000 0.500000 541.809998      0.99961  35.141153     -5.0595793    
40.500000 0.500000 0.500000 576.163330      1.15644  40.079595     -5.8417516    
45.500000 0.500000 0.500000 549.518372      1.04181  45.018037     -6.6239239    
50.500000 0.500000 0.500000 200.958298     -0.13514  49.956478     -7.4060963    
55.500000 0.500000 0.500000 375.029907      0.54246  54.894920     -8.1882686    
60.500000 0.500000 0.500000 320.968292      0.34180  59.833362     -8.9704409    
65.500000 0.500000 0.500000 374.281708      0.53522  64.771804     -9.7526132    
70.500000 0.500000 0.500000 270.466705      0.16048  69.710245     -10.534786    
75.500000 0.500000 0.500000 14.636700     -1.21991  74.648687     -11.316958    
80.500000 0.500000 0.500000 138.963303     -0.41588  79.587129     -12.099130    
85.500000 0.500000 0.500000 330.253296      0.37522  84.525570     -12.881302    
90.500000 0.500000 0.500000 363.000000      0.49940  89.464012     -13.663475    
95.500000 0.500000 0.500000 122.781700     -0.51365  94.402454     -14.445647    
0.500000 5.500000 0.500000 0.000000     -1.89949  1.3542337      5.3540686    
5.500000 5.500000 0.500000 11.474400     -1.27446  6.2926754      4.5718963    
10.500000 5.500000 0.500000 43.175598     -0.94924  11.231117      3.7897240    
15.500000 5.500000 0.500000 107.290001     -0.60904  16.169559      3.0075517    
20.500000 5.500000 0.500000 281.265503      0.21150  21.108001      2.2253794    
25.500000 5.500000 0.500000 313.061096      0.30877  26.046442      1.4432070    
30.500000 5.500000 0.500000 424.531097      0.67056  30.984884     0.66103473    
35.500000 5.500000 0.500000 253.062195      0.10358  35.923326     -.12113759    
40.500000 5.500000 0.500000 407.880005      0.63183  40.861767     -.90330991    
45.500000 5.500000 0.500000 222.167801      0.00313  45.800209     -1.6854822    
50.500000 5.500000 0.500000 283.696686      0.24365  50.738651     -2.4676545    
55.500000 5.500000 0.500000 216.302200     -0.03447  55.677092     -3.2498269    
60.500000 5.500000 0.500000 261.458893      0.12882  60.615534     -4.0319992    
65.500000 5.500000 0.500000 235.391098      0.04702  65.553976     -4.8141715    
70.500000 5.500000 0.500000 474.660004      0.81950  70.492418     -5.5963438    
75.500000 5.500000 0.500000 277.003296      0.19870  75.430859     -6.3785161    
80.500000 5.500000 0.500000 428.578888      0.67843  80.369301     -7.1606885    
85.500000 5.500000 0.500000 772.396606      1.65710  85.307743     -7.9428608    
90.500000 5.500000 0.500000 503.337799      0.90117  90.246184     -8.7250331    
95.500000 5.500000 0.500000 177.917801     -0.26307  95.184626     -9.5072054    
0.500000 10.500000 0.500000 66.873299     -0.84609  2.1364060      10.292510    
5.500000 10.500000 0.500000 66.746696     -0.86416  7.0748477      9.5103380    
