With Rotated Coordinates: Normal Score Transform: pygeostat_saved_data
 7
X
Y
Z
value
NS_value
Rotated X
Rotated Y
0.500000 0.500000 0.500000 0.000000     -2.67379 0.45451948     0.54167522    
5.500000 0.500000 0.500000 0.000000     -2.37603  5.4354930     0.97745393    
10.500000 0.500000 0.500000 204.054993     -0.10989  10.416466      1.4132326    
15.500000 0.500000 0.500000 157.588303     -0.34180  15.397440      1.8490114    
20.500000 0.500000 0.500000 210.154999     -0.06585  20.378413      2.2847901    
25.500000 0.500000 0.500000 386.173309      0.59402  25.359387      2.7205688    
30.500000 0.500000 0.500000 422.756592      0.66274  30.340360      3.1563475    
35.500000 0.500000 0.500000 541.809998      0.99961  35.321334      3.5921262    
40.500000 0.500000 0.500000 576.163330      1.15644  40.302307      4.0279049    
45.500000 0.500000 0.500000 549.518372      1.04181  45.283281      4.4636836    
50.500000 0.500000 0.500000 200.958298     -0.13514  50.264254      4.8994623    
55.500000 0.500000 0.500000 375.029907      0.54246  55.245228      5.3352410    
60.500000 0.500000 0.500000 320.968292      0.34180  60.226201      5.7710197    
65.500000 0.500000 0.500000 374.281708      0.53522  65.207175      6.2067985    
70.500000 0.500000 0.500000 270.466705      0.16048  70.188148      6.6425772    
75.500000 0.500000 0.500000 14.636700     -1.21991  75.169122      7.0783559    
80.500000 0.500000 0.500000 138.963303     -0.41588  80.150095      7.5141346    
85.500000 0.500000 0.500000 330.253296      0.37522  85.131069      7.9499133    
90.500000 0.500000 0.500000 363.000000      0.49940  90.112042      8.3856920    
95.500000 0.500000 0.500000 122.781700     -0.51365  95.093016      8.8214707    
0.500000 5.500000 0.500000 0.000000     -1.89949 0.18740768E-01  5.5226487    
5.500000 5.500000 0.500000 11.474400     -1.27446  4.9997143      5.9584274    
10.500000 5.500000 0.500000 43.175598     -0.94924  9.9806877      6.3942061    
15.500000 5.500000 0.500000 107.290001     -0.60904  14.961661      6.8299848    
20.500000 5.500000 0.500000 281.265503      0.21150  19.942635      7.2657636    
25.500000 5.500000 0.500000 313.061096      0.30877  24.923608      7.7015423    
30.500000 5.500000 0.500000 424.531097      0.67056  29.904582      8.1373210    
35.500000 5.500000 0.500000 253.062195      0.10358  34.885555      8.5730997    
40.500000 5.500000 0.500000 407.880005      0.63183  39.866529      9.0088784    
45.500000 5.500000 0.500000 222.167801      0.00313  44.847502      9.4446571    
50.500000 5.500000 0.500000 283.696686      0.24365  49.828476      9.8804358    
55.500000 5.500000 0.500000 216.302200     -0.03447  54.809449      10.316215    
60.500000 5.500000 0.500000 261.458893      0.12882  59.790423      10.751993    
65.500000 5.500000 0.500000 235.391098      0.04702  64.771396      11.187772    
70.500000 5.500000 0.500000 474.660004      0.81950  69.752370      11.623551    
75.500000 5.500000 0.500000 277.003296      0.19870  74.733343      12.059329    
80.500000 5.500000 0.500000 428.578888      0.67843  79.714317      12.495108    
85.500000 5.500000 0.500000 772.396606      1.65710  84.695290      12.930887    
90.500000 5.500000 0.500000 503.337799      0.90117  89.676264      13.366665    
95.500000 5.500000 0.500000 177.917801     -0.26307  94.657237      13.802444    
0.500000 10.500000 0.500000 66.873299     -0.84609 -.41703794      10.503622    
5.500000 10.500000 0.500000 66.746696     -0.86416  4.5639355      10.939401    
10.500000 10.500000 0.500000 77.235603     -0.78492  9.5449090      11.375180    
15.500000 10.500000 0.500000 94.454399     -0.69429  14.525883      11.810958    
20.500000 10.500000 0.500000 51.272202     -0.92975  19.506856      12.246737    
25.500000 10.500000 0.500000 234.729996      0.04074  24.487830      12.682516    
30.500000 10.500000 0.500000 528.935608      0.95912  29.468803      13.118294    
35.500000 10.500000 0.500000 482.937805      0.85509  34.449776      13.554073    
40.500000 10.500000 0.500000 505.185486      0.92014  39.430750      13.989852    
45.500000 10.500000 0.500000 65.401100     -0.89180  44.411723      14.425631    
50.500000 10.500000 0.500000 73.295601     -0.79348  49.392697      14.861409    
55.500000 10.500000 0.500000 219.704498     -0.00940  54.373670      15.297188    
60.500000 10.500000 0.500000 225.733307      0.01567  59.354644      15.732967    
65.500000 10.500000 0.500000 182.372192     -0.23720  64.335617      16.168745    
70.500000 10.500000 0.500000 390.133301      0.60151  69.316591      16.604524    
75.500000 10.500000 0.500000 93.995598     -0.70229  74.297564      17.040303    
80.500000 10.500000 0.500000 445.234497      0.74297  79.278538      17.476082    
85.500000 10.500000 0.500000 377.331085      0.54974  84.259511      17.911860    
90.500000 10.500000 0.500000 231.436707      0.02820  89.240485      18.347639    
95.500000 10.500000 0.500000 104.372200     -0.63183  94.221458      18.783418    
0.500000 15.500000 0.500000 541.830017      1.00999 -.85281665      15.484596    
5.500000 15.500000 0.500000 172.673294     -0.27606  4.1281568      15.920374    
10.500000 15.500000 0.500000 87.331100     -0.72655  9.1091303      16.356153    
15.500000 15.500000 0.500000 186.407806     -0.21150  14.090104      16.791932    
20.500000 15.500000 0.500000 118.986702     -0.54246  19.071077      17.227711    
25.500000 15.500000 0.500000 208.202194     -0.07841  24.052051      17.663489    
30.500000 15.500000 0.500000 676.192322      1.44842  29.033024      18.099268    
35.500000 15.500000 0.500000 554.272217      1.06362  34.013998      18.535047    
40.500000 15.500000 0.500000 558.902222      1.10884  38.994971      18.970825    
45.500000 15.500000 0.500000 272.997803      0.16683  43.975945      19.406604    
50.500000 15.500000 0.500000 81.733299     -0.75959  48.956918      19.842383    
55.500000 15.500000 0.500000 313.634399      0.31534  53.937892      20.278162    
60.500000 15.500000 0.500000 145.955597     -0.38195  58.918865      20.713940    
65.500000 15.500000 0.500000 191.756699     -0.17956  63.899839      21.149719    
70.500000 15.500000 0.500000 113.223297     -0.56437  68.880812      21.585498    
75.500000 15.500000 0.500000 87.401100     -0.71842  73.861786      22.021276    
80.500000 15.500000 0.500000 191.653305     -0.19231  78.842759      22.457055    
85.500000 15.500000 0.500000 343.973389      0.40905  83.823733      22.892834    
90.500000 15.500000 0.500000 90.415604     -0.71033  88.804706      23.328612    
95.500000 15.500000 0.500000 341.132202      0.40225  93.785680      23.764391    
0.500000 20.500000 0.500000 633.525024      1.30322 -1.2885954      20.465569    
5.500000 20.500000 0.500000 667.548889      1.39671  3.6923781      20.901348    
10.500000 20.500000 0.500000 482.946686      0.86416  8.6733516      21.337127    
15.500000 20.500000 0.500000 770.286682      1.63285  13.654325      21.772905    
20.500000 20.500000 0.500000 294.677795      0.28911  18.635299      22.208684    
25.500000 20.500000 0.500000 305.768890      0.29565  23.616272      22.644463    
30.500000 20.500000 0.500000 479.667786      0.84609  28.597246      23.080241    
35.500000 20.500000 0.500000 605.803284      1.23320  33.578219      23.516020    
40.500000 20.500000 0.500000 218.581100     -0.02193  38.559193      23.951799    
45.500000 20.500000 0.500000 443.858887      0.73474  43.540166      24.387578    
50.500000 20.500000 0.500000 224.752197      0.00940  48.521140      24.823356    
55.500000 20.500000 0.500000 357.417786      0.47821  53.502113      25.259135    
60.500000 20.500000 0.500000 329.866608      0.36850  58.483087      25.694914    
65.500000 20.500000 0.500000 0.000000     -1.93901  63.464060      26.130692    
70.500000 20.500000 0.500000 9.778900     -1.36421  68.445034      26.566471    
75.500000 20.500000 0.500000 252.237793      0.09729  73.426007      27.002250    
80.500000 20.500000 0.500000 459.354401      0.75959  78.406980      27.438029    
85.500000 20.500000 0.500000 150.772202     -0.37522  83.387954      27.873807    
90.500000 20.500000 0.500000 277.854401      0.20509  88.368927      28.309586    
95.500000 20.500000 0.500000 358.205505      0.48525  93.349901      28.745365    
0.500000 25.500000 0.500000 943.635010      2.37603 -1.7243741      25.446543    
5.500000 25.500000 0.500000 804.471130      1.76538  3.2565994      25.882321    
10.500000 25.500000 0.500000 659.869995      1.36421  8.2375729      26.318100    
15.500000 25.500000 0.500000 556.913330      1.08595  13.218546      26.753879    
20.500000 25.500000 0.500000 346.709991      0.43646  18.199520      27.189658    
25.500000 25.500000 0.500000 80.099998     -0.77642  23.180493      27.625436    
30.500000 25.500000 0.500000 499.897797      0.89180  28.161467      28.061215    
35.500000 25.500000 0.500000 720.216675      1.52403  33.142440      28.496994    
40.500000 25.500000 0.500000 350.205505      0.45724  38.123414      28.932772    
45.500000 25.500000 0.500000 530.035522      0.97916  43.104387      29.368551    
50.500000 25.500000 0.500000 468.263306      0.78492  48.085361      29.804330    
55.500000 25.500000 0.500000 440.191101      0.71033  53.066334      30.240108    
60.500000 25.500000 0.500000 281.331085      0.21791  58.047308      30.675887    
65.500000 25.500000 0.500000 104.641098     -0.62419  63.028281      31.111666    
70.500000 25.500000 0.500000 14.106700     -1.23320  68.009255      31.547445    
75.500000 25.500000 0.500000 144.353302     -0.38870  72.990228      31.983223    
80.500000 25.500000 0.500000 197.258896     -0.16048  77.971202      32.419002    
85.500000 25.500000 0.500000 136.416702     -0.42958  82.952175      32.854781    
90.500000 25.500000 0.500000 152.614395     -0.36180  87.933149      33.290559    
95.500000 25.500000 0.500000 152.516693     -0.36850  92.914122      33.726338    
0.500000 30.500000 0.500000 320.226715      0.33517 -2.1601528      30.427516    
5.500000 30.500000 0.500000 781.194519      1.70874  2.8208207      30.863295    
10.500000 30.500000 0.500000 594.945618      1.20682  7.8017942      31.299074    
15.500000 30.500000 0.500000 546.493408      1.03109  12.782768      31.734852    
20.500000 30.500000 0.500000 647.992188      1.33310  17.763741      32.170631    
25.500000 30.500000 0.500000 0.000000     -2.49771  22.744715      32.606410    
30.500000 30.500000 0.500000 570.921082      1.14430  27.725688      33.042188    
35.500000 30.500000 0.500000 943.423279      2.28182  32.706662      33.477967    
40.500000 30.500000 0.500000 569.085571      1.12050  37.687635      33.913746    
45.500000 30.500000 0.500000 108.952202     -0.58656  42.668609      34.349525    
50.500000 30.500000 0.500000 377.399994      0.55704  47.649582      34.785303    
55.500000 30.500000 0.500000 184.411102     -0.21791  52.630556      35.221082    
60.500000 30.500000 0.500000 626.222290      1.26047  57.611529      35.656861    
65.500000 30.500000 0.500000 528.228882      0.94924  62.592503      36.092639    
70.500000 30.500000 0.500000 696.080017      1.50432  67.573476      36.528418    
75.500000 30.500000 0.500000 438.438812      0.70229  72.554450      36.964197    
80.500000 30.500000 0.500000 825.535522      1.89949  77.535423      37.399976    
85.500000 30.500000 0.500000 195.571106     -0.17319  82.516397      37.835754    
90.500000 30.500000 0.500000 0.000000     -2.02859  87.497370      38.271533    
95.500000 30.500000 0.500000 0.000000     -2.08028  92.478344      38.707312    
0.500000 35.500000 0.500000 662.445007      1.38028 -2.5959315      35.408490    
5.500000 35.500000 0.500000 338.700012      0.38870  2.3850420      35.844268    
10.500000 35.500000 0.500000 496.092194      0.88251  7.3660155      36.280047    
15.500000 35.500000 0.500000 445.892212      0.75125  12.346989      36.715826    
20.500000 35.500000 0.500000 490.066711      0.87330  17.327962      37.151604    
25.500000 35.500000 0.500000 469.837708      0.79348  22.308936      37.587383    
30.500000 35.500000 0.500000 820.145630      1.86273  27.289909      38.023162    
35.500000 35.500000 0.500000 721.133423      1.54436  32.270883      38.458941    
40.500000 35.500000 0.500000 419.187805      0.65495  37.251856      38.894719    
45.500000 35.500000 0.500000 96.012199     -0.67843  42.232830      39.330498    
50.500000 35.500000 0.500000 135.607803     -0.43646  47.213803      39.766277    
55.500000 35.500000 0.500000 157.479996     -0.34845  52.194777      40.202055    
60.500000 35.500000 0.500000 282.026703      0.23076  57.175750      40.637834    
65.500000 35.500000 0.500000 628.464417      1.27446  62.156724      41.073613    
70.500000 35.500000 0.500000 380.188812      0.56437  67.137697      41.509392    
75.500000 35.500000 0.500000 504.958893      0.91061  72.118671      41.945170    
80.500000 35.500000 0.500000 745.307678      1.58706  77.099644      42.380949    
85.500000 35.500000 0.500000 674.889893      1.41353  82.080618      42.816728    
90.500000 35.500000 0.500000 191.685593     -0.18593  87.061591      43.252506    
95.500000 35.500000 0.500000 24.378901     -1.10884  92.042565      43.688285    
0.500000 40.500000 0.500000 283.859985      0.25011 -3.0317102      40.389463    
5.500000 40.500000 0.500000 267.544403      0.14780  1.9492633      40.825242    
10.500000 40.500000 0.500000 124.724503     -0.49231  6.9302368      41.261021    
15.500000 40.500000 0.500000 126.336700     -0.48525  11.911210      41.696799    
20.500000 40.500000 0.500000 204.091095     -0.10358  16.892184      42.132578    
25.500000 40.500000 0.500000 293.524506      0.26307  21.873157      42.568357    
30.500000 40.500000 0.500000 557.384521      1.09732  26.854131      43.004135    
35.500000 40.500000 0.500000 819.033386      1.82833  31.835104      43.439914    
40.500000 40.500000 0.500000 876.262207      2.02859  36.816078      43.875693    
45.500000 40.500000 0.500000 159.712204     -0.33517  41.797051      44.311472    
50.500000 40.500000 0.500000 155.172195     -0.35512  46.778025      44.747250    
55.500000 40.500000 0.500000 348.921112      0.44337  51.758998      45.183029    
60.500000 40.500000 0.500000 397.273285      0.61660  56.739972      45.618808    
65.500000 40.500000 0.500000 263.113312      0.14147  61.720945      46.054586    
70.500000 40.500000 0.500000 80.419998     -0.76798  66.701919      46.490365    
75.500000 40.500000 0.500000 0.000000     -1.73636  71.682892      46.926144    
80.500000 40.500000 0.500000 30.223301     -1.04181  76.663866      47.361923    
85.500000 40.500000 0.500000 183.453293     -0.22433  81.644839      47.797701    
90.500000 40.500000 0.500000 217.036697     -0.02820  86.625813      48.233480    
95.500000 40.500000 0.500000 9.561100     -1.39671  91.606786      48.669259    
0.500000 45.500000 0.500000 259.290009      0.12250 -3.4674889      45.370437    
5.500000 45.500000 0.500000 134.901093     -0.44337  1.5134846      45.806215    
10.500000 45.500000 0.500000 134.422195     -0.45029  6.4944581      46.241994    
15.500000 45.500000 0.500000 233.891098      0.03447  11.475432      46.677773    
20.500000 45.500000 0.500000 369.962189      0.51365  16.456405      47.113551    
25.500000 45.500000 0.500000 632.985596      1.28871  21.437379      47.549330    
30.500000 45.500000 0.500000 684.366577      1.46654  26.418352      47.985109    
35.500000 45.500000 0.500000 675.041077      1.43076  31.399326      48.420888    
40.500000 45.500000 0.500000 508.486694      0.92975  36.380299      48.856666    
45.500000 45.500000 0.500000 119.627800     -0.53522  41.361273      49.292445    
50.500000 45.500000 0.500000 323.596710      0.34845  46.342246      49.728224    
55.500000 45.500000 0.500000 274.037811      0.17319  51.323219      50.164002    
60.500000 45.500000 0.500000 352.788910      0.46421  56.304193      50.599781    
65.500000 45.500000 0.500000 328.128906      0.36180  61.285166      51.035560    
70.500000 45.500000 0.500000 142.736694     -0.39546  66.266140      51.471339    
75.500000 45.500000 0.500000 182.516693     -0.23076  71.247113      51.907117    
80.500000 45.500000 0.500000 202.179993     -0.12250  76.228087      52.342896    
85.500000 45.500000 0.500000 212.113297     -0.05329  81.209060      52.778675    
90.500000 45.500000 0.500000 107.779999     -0.59402  86.190034      53.214453    
95.500000 45.500000 0.500000 4.686700     -1.48517  91.171007      53.650232    
0.500000 50.500000 0.500000 199.323303     -0.14780 -3.9032676      50.351410    
5.500000 50.500000 0.500000 163.362198     -0.30877  1.0777059      50.787189    
10.500000 50.500000 0.500000 345.711090      0.42958  6.0586794      51.222968    
15.500000 50.500000 0.500000 385.123413      0.58656  11.039653      51.658746    
20.500000 50.500000 0.500000 911.576721      2.20435  16.020626      52.094525    
25.500000 50.500000 0.500000 1020.445618      2.49771  21.001600      52.530304    
30.500000 50.500000 0.500000 513.162170      0.93945  25.982573      52.966082    
35.500000 50.500000 0.500000 370.543304      0.52081  30.963547      53.401861    
40.500000 50.500000 0.500000 127.517799     -0.47821  35.944520      53.837640    
45.500000 50.500000 0.500000 56.545601     -0.91061  40.925494      54.273419    
50.500000 50.500000 0.500000 171.891098     -0.28911  45.906467      54.709197    
55.500000 50.500000 0.500000 311.005615      0.30220  50.887441      55.144976    
60.500000 50.500000 0.500000 203.493301     -0.11619  55.868414      55.580755    
65.500000 50.500000 0.500000 3.492200     -1.50432  60.849388      56.016533    
70.500000 50.500000 0.500000 409.715607      0.63950  65.830361      56.452312    
75.500000 50.500000 0.500000 410.417786      0.64720  70.811335      56.888091    
80.500000 50.500000 0.500000 615.811096      1.24672  75.792308      57.323869    
85.500000 50.500000 0.500000 381.309998      0.57174  80.773282      57.759648    
90.500000 50.500000 0.500000 29.941099     -1.06362  85.754255      58.195427    
95.500000 50.500000 0.500000 18.742201     -1.13232  90.735229      58.631206    
0.500000 55.500000 0.500000 431.478302      0.68634 -4.3390463      55.332384    
5.500000 55.500000 0.500000 199.285599     -0.15414 0.64192715      55.768162    
10.500000 55.500000 0.500000 313.907806      0.32194  5.6229006      56.203941    
15.500000 55.500000 0.500000 848.711121      1.93901  10.603874      56.639720    
20.500000 55.500000 0.500000 1021.297913      2.67379  15.584848      57.075498    
25.500000 55.500000 0.500000 808.152222      1.79597  20.565821      57.511277    
30.500000 55.500000 0.500000 695.593323      1.48517  25.546795      57.947056    
35.500000 55.500000 0.500000 172.298904     -0.28258  30.527768      58.382835    
40.500000 55.500000 0.500000 39.516701     -0.99961  35.508742      58.818613    
45.500000 55.500000 0.500000 20.670000     -1.12050  40.489715      59.254392    
50.500000 55.500000 0.500000 16.385599     -1.18126  45.470689      59.690171    
55.500000 55.500000 0.500000 70.065598     -0.82830  50.451662      60.125949    
60.500000 55.500000 0.500000 293.609985      0.26956  55.432636      60.561728    
65.500000 55.500000 0.500000 180.929993     -0.24365  60.413609      60.997507    
70.500000 55.500000 0.500000 256.683289      0.10989  65.394583      61.433286    
75.500000 55.500000 0.500000 276.936615      0.19231  70.375556      61.869064    
80.500000 55.500000 0.500000 165.742203     -0.30220  75.356530      62.304843    
85.500000 55.500000 0.500000 120.544403     -0.52800  80.337503      62.740622    
90.500000 55.500000 0.500000 0.000000     -3.02334  85.318476      63.176400    
95.500000 55.500000 0.500000 251.179993      0.09099  90.299450      63.612179    
0.500000 60.500000 0.500000 364.876709      0.50651 -4.7748250      60.313357    
5.500000 60.500000 0.500000 130.824493     -0.46421 0.20614844      60.749136    
10.500000 60.500000 0.500000 220.403305     -0.00313  5.1871219      61.184915    
15.500000 60.500000 0.500000 904.667725      2.08028  10.168095      61.620693    
20.500000 60.500000 0.500000 780.570007      1.68236  15.149069      62.056472    
25.500000 60.500000 0.500000 732.206726      1.56535  20.130042      62.492251    
30.500000 60.500000 0.500000 206.515594     -0.09099  25.111016      62.928029    
35.500000 60.500000 0.500000 9.820000     -1.34849  30.091989      63.363808    
40.500000 60.500000 0.500000 9.652200     -1.38028  35.072963      63.799587    
45.500000 60.500000 0.500000 0.623300     -1.63285  40.053936      64.235366    
